name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,state
Nikolai,US,AK,,PAFS,54.2553,-133.0583,41.0,America/Juneau,2006-10-24,2023-11-04,1992-11-01,2023-10-31,1992-01-01,2021-01-01,AK
Haines / Gantegastaki (Historical),US,AK,,PAHN,59.2438,-135.5235,5.0,America/Juneau,1996-06-13,2023-11-04,1998-06-06,2022-03-20,1999-01-01,2021-01-01,AK
False Pass,US,AK,,PAKF,54.8474,-163.4103,6.0,America/Juneau,1973-01-01,2023-10-13,1992-08-31,2022-04-24,2021-01-01,2022-01-01,AK
Deadhorse,US,AK,,PASC,70.1947,-148.4652,20.0,America/Juneau,1973-01-01,2023-11-04,1978-06-30,2022-04-24,1999-01-01,2021-01-01,AK
Mobile Regional Airport,US,AL,72223,KMOB,30.6833,-88.0667,66.0,America/Chicago,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,AL
Montgomery Dannelly Field,US,AL,72226,KMGM,32.3,-86.0667,67.0,America/Chicago,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,AL
Birmingham Airport,US,AL,72228,KBHM,33.5667,-86.75,196.0,America/Chicago,1942-08-01,2023-11-04,1930-01-01,2023-10-31,1930-01-01,2022-01-01,AL
Centreville,US,AL,72229,KCKL,32.9,-87.25,140.0,America/Chicago,1984-01-01,2005-10-07,1974-12-01,2020-12-16,1974-01-01,2014-01-01,AL
"Shelby Country Airport, Al.",US,AL,72230,KBMX,33.1667,-86.7667,178.0,America/Chicago,,,1995-04-01,2023-10-31,1995-01-01,2022-01-01,AL
Huntsville International  Jones Field,US,AL,72323,KHSV,34.65,-86.7833,192.0,America/Chicago,1973-01-01,2023-11-04,1958-09-01,2023-10-31,1958-01-01,2022-01-01,AL
Anniston / House (Historical),US,AL,,KANB,33.5882,-85.8581,187.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1999-01-01,2022-01-01,AL
Mobile / Curve Mobile Home Park,US,AL,,KBFM,30.6268,-88.0681,8.0,America/Chicago,1942-07-01,2023-11-04,1942-07-02,2022-04-24,1942-01-01,2022-01-01,AL
Muscle Shoals / Detroit Park,US,AL,,KMSL,34.7453,-87.6102,168.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1999-01-01,2021-01-01,AL
Montgomery / Brickdale Estates,US,AL,,KMXF,32.3792,-86.3625,52.0,America/Chicago,1935-10-01,2023-11-04,1937-01-05,2022-04-24,1937-01-01,2021-01-01,AL
Fort Rucker / Ft Rucker / Ozark / Daleville,US,AL,,KOZR,31.2758,-85.7134,92.0,America/Chicago,1954-10-19,2023-11-04,1954-10-23,2022-04-24,1954-01-01,2022-01-01,AL
Selma / Selmont-West Selmont,US,AL,,KSEM,32.3439,-86.9878,51.0,America/Chicago,1941-07-01,2023-11-04,1941-11-02,2022-04-24,1942-01-01,2022-01-01,AL
Tuscaloosa / Carter Subdivision,US,AL,,KTCL,33.2206,-87.6114,52.0,America/Chicago,1973-01-01,2023-11-04,1973-01-02,2022-04-24,1999-01-01,2021-01-01,AL
"North Little Rock, North Little Rock Airport",US,AR,72340,KLZK,34.8333,-92.25,165.0,America/Chicago,2006-01-01,2021-10-29,1976-11-01,2023-10-31,1951-01-01,2022-01-01,AR
Fort Smith Regional Airport,US,AR,72344,KFSM,35.3333,-94.0333,143.0,America/Chicago,1947-01-01,2023-11-04,1945-09-27,2023-10-31,1945-01-01,2022-01-01,AR
Harrison / Francis,US,AR,72345,KHRO,36.2615,-93.1547,416.0,America/Chicago,1946-08-01,2023-11-04,1946-08-02,2023-10-31,1946-01-01,2022-01-01,AR
El Dorado / Cairo,US,AR,,KELD,33.221,-92.8133,84.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-22,1977-01-01,2021-01-01,AR
Fayetteville / Greenland,US,AR,,KFYV,36.0051,-94.1701,382.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1974-01-01,2021-01-01,AR
Little Rock / Jacksonville / Macon,US,AR,,KLRF,34.9168,-92.1465,95.0,America/Chicago,1956-01-01,2023-11-04,1956-02-22,2022-04-24,1956-01-01,2021-01-01,AR
Pine Bluff / Ladd,US,AR,,KPBF,34.1745,-91.9356,63.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2005-01-01,2021-01-01,AR
Texarkana / Rondo,US,AR,,KTXK,33.4537,-93.991,119.0,America/Chicago,1946-07-29,2023-11-04,1946-07-30,2022-04-24,1946-01-01,2022-01-01,AR
"Fort Huachuca, Libby Aaf Ft Huachuca",US,AZ,72273,KFHU,47.6333,-110.3333,1438.0,America/Phoenix,1954-10-11,2023-11-04,1900-02-01,2022-04-25,1900-01-01,2022-01-01,AZ
Tucson International Airport,US,AZ,72274,KTUS,32.1333,-110.95,805.0,America/Phoenix,1973-01-01,2023-11-04,1946-06-01,2023-10-31,1946-01-01,2022-01-01,AZ
Phoenix Sky Harbor Airport,US,AZ,72278,KPHX,33.4333,-112.05,345.0,America/Phoenix,1973-01-01,2023-11-04,1933-06-01,2023-10-31,1933-01-01,2022-01-01,AZ
Kingman Airport,US,AZ,72370,KIGM,35.25,-113.9333,1050.0,America/Phoenix,1999-01-01,2023-11-04,1996-07-01,2023-10-31,1996-01-01,2022-01-01,AZ
Page Municipal Airport,US,AZ,72371,KPGA,36.9333,-111.45,1314.0,America/Phoenix,2006-01-01,2023-11-04,1997-06-01,2023-10-31,1997-01-01,2022-01-01,AZ
Winslow Municipal Airport,US,AZ,72374,KINW,35.0333,-110.7167,1505.0,America/Phoenix,1973-01-01,2023-11-04,1898-10-01,2023-10-31,1898-01-01,2022-01-01,AZ
Chandler / Germann,US,AZ,,KIWA,33.3078,-111.6555,421.0,America/Phoenix,1942-03-01,2023-11-04,1942-03-03,2022-04-24,1942-01-01,2022-01-01,AZ
Phoenix / Glendale / Webb,US,AZ,,KLUF,33.535,-112.3832,331.0,America/Phoenix,1941-12-01,2023-11-04,1941-12-02,2022-04-24,1942-01-01,2021-01-01,AZ
Yuma / Desert Royal Mobile Park,US,AZ,,KNYL,32.6566,-114.606,65.0,America/Phoenix,1988-01-01,2023-11-04,1988-01-01,2022-04-24,1988-01-01,2020-01-01,AZ
Coolidge / Valley Farms,US,AZ,,KP08,32.9359,-111.4265,480.0,America/Phoenix,1944-07-16,2023-11-04,1944-07-17,2022-04-24,1944-01-01,2022-01-01,AZ
Prescott / Tutt,US,AZ,,KPRC,34.6544,-112.4196,1537.0,America/Phoenix,1991-01-01,2023-11-04,1991-01-01,2022-04-24,1991-01-01,2021-01-01,AZ
Fort Ord / Blanco,US,CA,69007,KOAR,36.6815,-121.7617,42.0,America/Los_Angeles,1973-01-02,2023-11-04,1983-03-31,2022-04-25,2020-01-01,2022-01-01,CA
Twentynine Palms / Sunfair Heights,US,CA,69015,KNXP,34.2962,-116.1622,625.0,America/Los_Angeles,1990-01-02,2023-11-04,1945-05-01,2022-04-24,1945-01-01,2021-01-01,CA
"El Centro, Naval Air Facility",US,CA,72281,KNJK,32.8167,-115.65,-13.0,America/Los_Angeles,1984-04-13,2023-11-04,1945-02-01,2023-10-29,1945-01-01,2022-01-01,CA
Riverside / March Air Force Base,US,CA,72286,KRIV,33.9,-117.25,469.0,America/Los_Angeles,1933-01-01,2023-11-04,1936-02-16,2023-10-31,1936-01-01,2022-01-01,CA
Burbank-Glendale-Pasadena,US,CA,72288,KBUR,34.2,-118.3667,236.0,America/Los_Angeles,1943-06-01,2023-11-04,1943-06-02,2023-10-31,1943-01-01,2022-01-01,CA
San Diego International Airport,US,CA,72290,KSAN,32.7333,-117.1833,5.0,America/Los_Angeles,1942-01-01,2023-11-04,1939-07-01,2023-10-31,1939-01-01,2022-01-01,CA
San Nicolas Island,US,CA,72291,KNSI,33.2333,-119.4667,154.0,America/Los_Angeles,1943-06-16,2023-11-04,1933-08-22,2022-04-24,1933-01-01,2021-01-01,CA
Avalon Catalina Airport,US,CA,72292,KAVX,33.4,-118.4167,488.0,America/Los_Angeles,1943-06-12,2023-11-04,1943-06-13,2023-10-31,1943-01-01,2022-01-01,CA
MCAS Miramar,US,CA,72293,KNKX,32.8667,-117.15,146.0,America/Los_Angeles,2005-04-01,2023-11-04,1947-07-01,2023-10-30,1947-01-01,2022-01-01,CA
Los Angeles Airport,US,CA,72295,KLAX,33.9333,-118.3833,38.0,America/Los_Angeles,1944-01-01,2023-11-04,1944-01-01,2023-10-31,1944-01-01,2022-01-01,CA
Long Beach Airport,US,CA,72297,KLGB,33.8167,-118.15,17.0,America/Los_Angeles,1943-01-01,2023-11-04,1943-01-01,2023-10-31,1943-01-01,2022-01-01,CA
Needles / Parker Junction,US,CA,72380,KEED,34.7663,-114.6233,300.0,America/Los_Angeles,1977-02-17,2023-11-04,1977-03-09,2022-04-24,2001-01-01,2022-01-01,CA
Edwards Air Force Base,US,CA,72381,KEDW,34.9167,-117.9,702.0,America/Los_Angeles,1941-12-01,2023-11-04,1941-12-21,2022-04-24,1942-01-01,2020-01-01,CA
Palmdale Prod Flight Plant,US,CA,72382,KPMD,34.6333,-118.0833,775.0,America/Los_Angeles,1973-01-01,2023-11-04,1934-01-02,2023-10-31,1934-01-01,2022-01-01,CA
Sandberg,US,CA,72383,KSDB,34.75,-118.7167,1379.0,America/Los_Angeles,1973-01-01,2023-11-04,1934-07-01,2023-10-31,1934-01-01,2022-01-01,CA
Bakersfield Meadows Field,US,CA,72384,KBFL,35.4333,-119.05,155.0,America/Los_Angeles,1941-10-01,2023-11-04,1937-10-01,2023-10-31,1937-01-01,2022-01-01,CA
Fresno Air Terminal,US,CA,72389,KFAT,36.7833,-119.7167,101.0,America/Los_Angeles,1941-12-04,2023-11-04,1941-12-04,2023-10-31,1942-01-01,2022-01-01,CA
"Nawcwpns Point Mugu, Ca",US,CA,72391,KNTD,34.1167,-119.1167,4.0,America/Los_Angeles,1973-01-01,2023-11-04,1946-03-01,2023-10-29,1946-01-01,2022-01-01,CA
Santa Barbara / La Patera,US,CA,72392,KSBA,34.4262,-119.8415,4.0,America/Los_Angeles,1973-01-01,2023-11-04,1941-01-02,2023-10-31,1941-01-01,2022-01-01,CA
"Lompoc, Vandenberg Air Force Base",US,CA,72393,KVBG,34.7167,-120.5667,112.0,America/Los_Angeles,2006-01-01,2023-11-04,1951-10-01,2022-04-25,1951-01-01,2021-01-01,CA
Santa Maria Public Airport,US,CA,72394,KSMX,34.9,-120.4667,79.0,America/Los_Angeles,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,CA
Bishop Airport,US,CA,72480,KBIH,37.3667,-118.3667,1256.0,America/Los_Angeles,1943-01-16,2023-11-04,1895-01-04,2023-10-31,1895-01-01,2022-01-01,CA
Merced / Castle Air Force Base,US,CA,72481,KMER,37.3667,-120.5667,57.0,America/Los_Angeles,1942-01-01,2023-11-03,1942-01-20,2022-04-25,1942-01-01,2022-01-01,CA
Sacramento Executive Airport,US,CA,72483,KSAC,38.5,-121.5,6.0,America/Los_Angeles,1973-01-01,2023-11-04,1941-11-10,2023-10-31,1941-01-01,2022-01-01,CA
Stockton Metropolitan Airport,US,CA,72492,KSCK,37.9,-121.2333,9.0,America/Los_Angeles,1941-01-03,2023-11-04,1941-02-20,2023-10-31,1941-01-01,2022-01-01,CA
Metro Oakland International  Airport,US,CA,72493,KOAK,37.7167,-122.2333,2.0,America/Los_Angeles,1943-01-01,2023-11-04,1943-01-02,2023-10-31,1943-01-01,2022-01-01,CA
San Francisco Airport,US,CA,72494,KSFO,37.6167,-122.3667,3.0,America/Los_Angeles,1973-01-01,2023-11-04,1945-07-01,2023-10-31,1945-01-01,2022-01-01,CA
Hayward / Russell City,US,CA,72585,KHWD,37.6589,-122.1218,16.0,America/Los_Angeles,2000-01-01,2023-11-04,1998-09-19,2023-10-31,1998-01-01,2022-01-01,CA
Red Bluff Municipal Airport,US,CA,72591,KRBL,40.15,-122.25,106.0,America/Los_Angeles,1973-01-01,2023-11-04,1892-01-01,2023-10-31,1892-01-01,2022-01-01,CA
Redding Municipal Airport,US,CA,72592,KRDD,40.5,-122.2833,153.0,America/Los_Angeles,1992-01-01,2023-11-04,1986-09-01,2023-10-31,1986-01-01,2022-01-01,CA
Salinas / Spreckels Junction,US,CA,72593,KSNS,36.6628,-121.6064,26.0,America/Los_Angeles,1941-08-05,2023-11-04,1930-06-14,2023-10-31,1930-01-01,2022-01-01,CA
Eureka,US,CA,72594,KEKA,40.8,-124.1667,13.0,America/Los_Angeles,2006-01-01,2023-09-10,1941-12-01,2023-10-31,1941-01-01,2022-01-01,CA
"Sheridan, Ca",US,CA,74500,KBAB,39.0,-121.3333,0.0,America/Los_Angeles,1959-07-01,2023-11-04,1959-07-02,2022-04-24,1959-01-01,2021-01-01,CA
Moffett Field,US,CA,74509,KNUQ,37.4333,-122.05,10.0,America/Los_Angeles,1973-01-01,2023-11-04,1945-03-01,2022-04-25,1945-01-01,2022-01-01,CA
Fairfield / Travis Air Force Base,US,CA,74516,KSUU,38.2667,-121.95,19.0,America/Los_Angeles,1943-08-11,2023-11-04,1943-08-12,2023-01-07,1943-01-01,2021-01-01,CA
Naws China Lake,US,CA,74612,KNID,35.6833,-117.7,696.0,America/Los_Angeles,1973-01-01,2023-11-04,1944-02-01,2023-10-29,1944-01-01,2022-01-01,CA
Lemoore Naval Air Station,US,CA,74702,KNLC,36.3333,-119.95,71.0,America/Los_Angeles,1961-07-01,2023-11-04,1961-07-01,2023-10-29,1961-01-01,2022-01-01,CA
Arcata / Clam Beach,US,CA,,KACV,40.9781,-124.1086,68.0,America/Los_Angeles,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1981-01-01,2022-01-01,CA
Blythe / Mesa Verde,US,CA,,KBLH,33.6192,-114.7169,122.0,America/Los_Angeles,1942-06-13,2023-11-04,1942-06-30,2022-04-24,1942-01-01,2022-01-01,CA
Blue Canyon,US,CA,,KBLU,39.275,-120.7097,1611.0,America/Los_Angeles,1973-01-01,2023-11-04,1973-01-02,2022-04-24,1981-01-01,2022-01-01,CA
Crescent City / Crescent City North,US,CA,,KCEC,41.7802,-124.2365,19.0,America/Los_Angeles,1973-01-01,2023-11-04,1992-08-13,2022-04-24,2005-01-01,2022-01-01,CA
Daggett / Minneola,US,CA,,KDAG,34.8537,-116.7867,588.0,America/Los_Angeles,1949-01-01,2023-11-04,1949-01-01,2022-04-24,1949-01-01,2021-01-01,CA
Fresno / West Park,US,CA,,KFCH,36.7321,-119.8203,85.0,America/Los_Angeles,1995-04-23,2023-08-21,1995-05-06,2022-03-05,,,CA
Sacramento / McClellan Park,US,CA,,KMCC,38.6676,-121.4006,23.0,America/Los_Angeles,1939-11-09,2023-11-04,1941-02-09,2022-04-24,1941-01-01,2022-01-01,CA
Modesto City / Riverside,US,CA,,KMOD,37.6258,-120.9544,30.0,America/Los_Angeles,1973-01-01,2023-11-04,1998-05-16,2022-04-24,1999-01-01,2021-01-01,CA
Oceanside / Chappo,US,CA,,KNFG,33.3011,-117.3551,24.0,America/Los_Angeles,1973-01-02,2023-11-04,1977-08-23,2022-04-24,1987-01-01,2020-01-01,CA
Imperial Beach,US,CA,,KNRS,32.5667,-117.1167,7.0,America/Los_Angeles,1973-01-01,2023-11-04,1973-01-12,2022-04-24,2008-01-01,2018-01-01,CA
San Clemente / Avalon,US,CA,,KNUC,33.0227,-118.5885,56.0,America/Los_Angeles,1943-06-10,2023-11-04,1943-06-10,2022-04-23,1945-01-01,1986-01-01,CA
Oxnard,US,CA,,KOXR,34.2008,-119.2072,14.0,America/Los_Angeles,1944-04-01,2023-11-04,1944-04-02,2022-04-24,1944-01-01,2022-01-01,CA
Paso Robles / Estrella,US,CA,,KPRB,35.6729,-120.6271,256.0,America/Los_Angeles,1941-12-01,2023-11-04,1942-02-02,2022-04-24,1942-01-01,2022-01-01,CA
San Bernardino / North Norton,US,CA,,KSBD,34.0954,-117.2349,353.0,America/Los_Angeles,1943-01-06,2023-11-04,1943-03-17,2022-04-24,1943-01-01,2022-01-01,CA
Montague / Snowden,US,CA,,KSIY,41.7814,-122.4681,808.0,America/Los_Angeles,1950-01-01,2023-11-04,1950-01-02,2022-04-24,1950-01-01,2021-01-01,CA
San Jose / Santa Clara Trailer Village,US,CA,,KSJC,37.3627,-121.9291,19.0,America/Los_Angeles,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2000-01-01,2022-01-01,CA
Sacramento / Kiesel,US,CA,,KSMF,38.6954,-121.5908,8.0,America/Los_Angeles,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1974-01-01,2022-01-01,CA
Santa Ana / Paularino,US,CA,,KSNA,33.6757,-117.8682,17.0,America/Los_Angeles,1940-06-17,2023-11-04,1942-10-06,2022-04-24,1943-01-01,2021-01-01,CA
Thermal,US,CA,,KTRM,33.6267,-116.1597,-35.0,America/Los_Angeles,1943-07-12,2023-11-04,1943-07-13,2022-04-24,1943-01-01,2022-01-01,CA
Ukiah / Asylum,US,CA,,KUKI,39.126,-123.2009,188.0,America/Los_Angeles,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2005-01-01,2022-01-01,CA
Van Nuys / Raymer,US,CA,,KVNY,34.2098,-118.49,245.0,America/Los_Angeles,1942-12-11,2023-11-04,1942-12-12,2022-04-24,1943-01-01,2022-01-01,CA
Lancaster / Antelope Acres,US,CA,,KWJF,34.7411,-118.2186,717.0,America/Los_Angeles,1974-06-01,2023-11-04,1974-06-03,2022-04-24,1975-01-01,2022-01-01,CA
